text,label
Вы выйграли 100 000 рублей! Перейдите по ссылке,1
"Привет, как дела? Встречаемся сегодня?",0
"Получите бесплатный iPhone X, пройдя опрос",1
"Поздравляем! Вы стали победителем лотереи, получите приз",1
"Ваш аккаунт заблокирован, срочно обновите данные",1
Откройте секрет заработка миллион долларов всего за неделю,1
"Бесплатные консультации юриста онлайн, переходите сюда",1
Только сегодня скидка 90% на брендовые товары,1
Приглашаем вас посетить эксклюзивную распродажу товаров премиум-класса,1
"Привет, скоро увидимся?",0
Напоминаю о нашей встрече завтра вечером,0
"Нужно обсудить проект, свяжись со мной",0
Давай договоримся о следующей тренировке,0
Хочешь пойти вместе на концерт?,0
"Перезвони мне, пожалуйста, обсудим детали встречи",0
"Отправляю файл презентации, проверь, всё ли верно",0
